soil_block,spp,row_no,term,estimate,std.error,statistic,p.value
1,AR,1,k,0.010994766681417207,0.0013641322992491549,8.059897626842309,4.1383690051761554e-5
1,AR,2,k,0.005389261792575289,0.0016865195584676545,3.1954932070114195,0.012698074956123372
1,AR,3,k,0.010702743003243717,0.0012987018791079607,8.241108429438102,1.7249451656996327e-4
1,AR,4,k,0.010124027563168431,0.0010898941838492478,9.289000449027782,1.4680377400955937e-5
1,AR,5,k,0.012163565258355102,0.001545023759019755,7.872736705403361,1.0096219656838626e-4
1,CR,1,k,0.00830707342232225,0.0010935350769302535,7.596531284247119,6.325490304581643e-5
1,CR,2,k,0.0052566104277886605,9.970484660340483e-4,5.272171420811506,7.533107375059485e-4
1,CR,3,k,0.008879499694081803,0.0014760331389179998,6.015786136475828,9.513241518803226e-4
1,CR,4,k,0.006780337408133073,0.0011315560798413025,5.992047171965172,3.262733665246292e-4
1,CR,5,k,0.007911791842271346,0.0010621431818843969,7.448893875338609,1.4335295923730777e-4
1,GM_PC,1,k,0.0034158930653918258,5.764772526685615e-4,5.925460284129809,3.5152703148505135e-4
1,GM_PC,2,k,0.003853400151016515,3.8310438681417053e-4,10.058355590915365,8.127200959234158e-6
1,GM_PC,3,k,0.003566797125897319,6.257490198420025e-4,5.70004428740122,0.0012601638357505947
1,GM_PC,4,k,0.0026168844211703736,4.68793761139147e-4,5.5821656303860925,5.209805796926806e-4
1,GM_PC,5,k,0.0034470020538360856,7.326586467654683e-4,4.704785876825264,0.0021962033130795713
1,PC,1,k,0.005431422625946515,8.7083962795268e-4,6.236995253323095,2.4919911778767287e-4
1,PC,2,k,0.006108849914638524,7.836677431197943e-4,7.795203985708397,5.260493305660421e-5
1,PC,3,k,0.005895822636250978,0.001108813500117865,5.317235617733967,0.001799924136004277
1,PC,4,k,0.006882577426078853,9.636684607967914e-4,7.142059438562637,9.785254133390289e-5
1,PC,5,k,0.005434981974108394,8.226721598718274e-4,6.606497994237664,3.0247460534413577e-4
2,AR,6,k,0.011240423134603559,0.0019207240721621553,5.852180069753714,6.292072075597396e-4
2,AR,7,k,0.014624031148672518,0.0017928226574291837,8.156987021595674,3.7957449618182505e-5
2,AR,8,k,0.014270826692054317,0.0019285406780130128,7.39980590233525,1.4944748056245605e-4
2,AR,9,k,0.012353075696991608,0.0012578392592339524,9.820869881669031,9.71296641587425e-6
2,AR,10,k,0.015512349343188134,0.002829184766158155,5.482974999986612,5.853950807685984e-4
2,CR,6,k,0.011170035866192784,0.0013465742005025374,8.295150658629996,3.3612804761382956e-5
2,CR,7,k,0.010899072172716878,0.0015484083309544579,7.038887582062127,1.083590336539702e-4
2,CR,8,k,0.010055626722721782,0.001344520718258217,7.478967476044935,7.067247079381419e-5
2,CR,9,k,0.010307510849386439,0.0010890934504744296,9.464303402886403,1.2783902004046334e-5
2,CR,10,k,0.011466901718529902,0.001380266957867799,8.30774195757296,3.3245220462564096e-5
2,GM_PC,6,k,0.0038563794493036724,3.1373632195006395e-4,12.29178510582997,1.784829086570068e-6
2,GM_PC,7,k,0.004160280125876342,3.947027160735375e-4,10.540287554295004,5.722962725756403e-6
2,GM_PC,8,k,0.004821464095798435,8.881077150662426e-4,5.428918152612614,6.241414402158748e-4
2,GM_PC,9,k,0.00518341924707093,4.058085898464355e-4,12.773064387405944,4.177571294659135e-6
2,GM_PC,10,k,0.0042608878962366314,5.870548406735441e-4,7.258074716406389,8.7365766640985e-5
2,PC,6,k,0.005726579314848051,9.455817836587178e-4,6.056143861708429,5.128282378731816e-4
2,PC,7,k,0.007109856126118545,9.12700010733049e-4,7.789915681504326,5.286116743961349e-5
2,PC,8,k,0.006642674845934228,9.393763039262793e-4,7.07136726588702,1.0492249522359017e-4
2,PC,9,k,0.006698068885991305,8.220318575908745e-4,8.14818650170239,3.825464468559408e-5
2,PC,10,k,0.006764562072864263,0.0010269471943932492,6.587059305284891,1.716885472944861e-4
